               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027528,           0.0094633,           0.0041648,             0.83474,             0.72814,             0.82115,             0.49932,            0.033095,            0.010248,            0.022627,           0.0096535,           0.0096535,           0.0096535
                  37,            0.027672,           0.0094106,           0.0046256,             0.79084,             0.82882,              0.8423,             0.49278,            0.031223,            0.010488,            0.022362,           0.0096436,           0.0096436,           0.0096436
                  38,            0.027327,           0.0089175,           0.0039225,             0.70524,             0.80653,             0.83624,             0.47168,             0.03169,            0.010996,            0.019258,           0.0096337,           0.0096337,           0.0096337
                  39,            0.027048,           0.0092175,           0.0036685,             0.92227,             0.87576,             0.91091,             0.60145,            0.028294,           0.0094861,            0.014797,           0.0096238,           0.0096238,           0.0096238
                  40,            0.026473,           0.0096255,           0.0041504,             0.91612,             0.93677,             0.92432,             0.64341,            0.026126,           0.0090717,           0.0092812,           0.0096139,           0.0096139,           0.0096139
                  41,            0.025775,           0.0088609,           0.0036621,             0.78841,             0.92456,             0.90653,              0.6168,            0.027067,           0.0089594,            0.017452,            0.009604,            0.009604,            0.009604
                  42,            0.023899,           0.0085149,           0.0047684,             0.84161,             0.89061,              0.8956,             0.53722,            0.031585,           0.0097052,            0.010297,           0.0095941,           0.0095941,           0.0095941
                  43,            0.024588,           0.0085074,           0.0037024,             0.86457,             0.87835,             0.91018,             0.56029,            0.031198,            0.010686,            0.015765,           0.0095842,           0.0095842,           0.0095842
                  44,            0.026052,           0.0087756,           0.0039228,             0.85976,             0.90159,              0.9133,             0.49628,            0.034313,           0.0091821,            0.017052,           0.0095743,           0.0095743,           0.0095743
                  45,             0.02501,           0.0088832,           0.0054439,             0.90535,             0.90462,             0.91887,             0.54576,            0.034634,           0.0099542,           0.0095398,           0.0095644,           0.0095644,           0.0095644
                  46,            0.027637,           0.0090336,           0.0041505,             0.93327,              0.8391,              0.9127,             0.57269,            0.029544,           0.0096729,             0.01574,           0.0095545,           0.0095545,           0.0095545
                  47,            0.023413,           0.0083241,           0.0038732,             0.83547,             0.88216,             0.93648,             0.57075,            0.029465,            0.009588,           0.0073943,           0.0095446,           0.0095446,           0.0095446
                  48,            0.025013,            0.008721,           0.0038547,             0.88388,             0.90606,             0.90756,             0.63716,            0.023921,           0.0097192,           0.0072588,           0.0095347,           0.0095347,           0.0095347
                  49,            0.025002,           0.0083562,           0.0029951,             0.91025,             0.77378,             0.88233,              0.5812,            0.032182,           0.0097284,            0.012904,           0.0095248,           0.0095248,           0.0095248
                  50,            0.024883,           0.0086094,           0.0031649,             0.86573,             0.90278,             0.90523,             0.56429,            0.031635,           0.0096533,            0.012877,           0.0095149,           0.0095149,           0.0095149
                  51,            0.023884,             0.00854,           0.0039809,             0.85673,             0.90547,             0.91595,             0.60344,             0.02825,           0.0093536,            0.015157,            0.009505,            0.009505,            0.009505
                  52,            0.022907,           0.0086295,           0.0038706,             0.86685,             0.89773,             0.92016,             0.63933,            0.022575,           0.0089209,            0.018755,           0.0094951,           0.0094951,           0.0094951
                  53,             0.02353,           0.0082655,            0.004172,             0.86607,             0.89064,             0.90393,             0.61381,            0.027304,           0.0090698,            0.022211,           0.0094852,           0.0094852,           0.0094852
                  54,            0.023624,           0.0085186,           0.0026733,             0.91041,             0.90606,              0.9281,              0.6083,            0.027404,           0.0095306,            0.011813,           0.0094753,           0.0094753,           0.0094753
                  55,            0.023644,            0.007676,           0.0031062,             0.84419,             0.91457,             0.91695,             0.63291,            0.023455,           0.0090881,            0.012131,           0.0094654,           0.0094654,           0.0094654
                  56,            0.022528,           0.0084361,           0.0037462,             0.86696,             0.85487,               0.861,             0.58397,            0.025063,           0.0094568,            0.019446,           0.0094555,           0.0094555,           0.0094555
                  57,            0.023563,            0.007596,           0.0036911,                0.89,             0.88902,             0.90106,             0.63601,            0.024892,            0.009635,            0.014301,           0.0094456,           0.0094456,           0.0094456
                  58,            0.022537,           0.0083695,           0.0031758,             0.93354,             0.92381,             0.93871,             0.61256,            0.027746,           0.0096918,           0.0077848,           0.0094357,           0.0094357,           0.0094357
                  59,            0.023314,           0.0085687,           0.0047066,             0.92524,             0.92144,             0.94133,             0.57936,            0.029247,           0.0095398,           0.0084005,           0.0094258,           0.0094258,           0.0094258
                  60,            0.023541,            0.008109,            0.004384,             0.84507,              0.9028,             0.91178,             0.62484,             0.02492,            0.011091,            0.011189,           0.0094159,           0.0094159,           0.0094159
                  61,            0.023539,           0.0081295,           0.0026738,             0.84185,             0.67937,             0.82605,             0.49237,            0.030796,            0.013766,            0.032396,            0.009406,            0.009406,            0.009406
                  62,            0.022392,           0.0079978,           0.0028036,             0.79557,             0.87384,             0.86401,             0.54564,            0.027689,            0.011274,            0.022659,           0.0093961,           0.0093961,           0.0093961
                  63,            0.022429,           0.0085484,           0.0036925,             0.90018,             0.91558,             0.93317,             0.63862,            0.025513,            0.010043,            0.010593,           0.0093862,           0.0093862,           0.0093862
                  64,            0.021297,            0.007548,           0.0041003,             0.87257,             0.92749,             0.91911,             0.62975,            0.024259,            0.010603,            0.013953,           0.0093763,           0.0093763,           0.0093763
                  65,            0.022025,            0.007821,           0.0030761,             0.90721,             0.88053,             0.90947,             0.60932,            0.026188,           0.0099854,            0.013358,           0.0093664,           0.0093664,           0.0093664
                  66,            0.022609,           0.0080627,           0.0032446,             0.93109,              0.9186,             0.94814,             0.64745,            0.024936,              0.0088,            0.009914,           0.0093565,           0.0093565,           0.0093565
                  67,            0.022444,           0.0082844,             0.00399,             0.93357,             0.89307,             0.93807,             0.62169,            0.025184,            0.009574,            0.012099,           0.0093466,           0.0093466,           0.0093466
                  68,            0.022328,           0.0079618,           0.0029075,             0.91145,             0.91265,             0.92127,             0.62738,            0.026054,           0.0097321,            0.012323,           0.0093367,           0.0093367,           0.0093367
                  69,             0.02318,           0.0079371,           0.0025836,             0.90079,              0.9122,             0.88524,             0.60809,            0.025615,           0.0097729,             0.01363,           0.0093268,           0.0093268,           0.0093268
                  70,            0.022428,           0.0082596,           0.0031961,             0.90941,             0.91225,             0.92304,             0.65332,            0.024518,           0.0098181,             0.01141,           0.0093169,           0.0093169,           0.0093169
                  71,            0.021047,           0.0078464,           0.0023464,             0.90936,              0.8611,             0.92776,             0.65332,            0.023872,           0.0097595,            0.013445,            0.009307,            0.009307,            0.009307
                  72,            0.020572,           0.0080745,            0.002486,             0.88645,             0.92064,             0.94491,             0.67383,             0.02345,            0.010052,            0.010129,           0.0092971,           0.0092971,           0.0092971
                  73,            0.022914,           0.0080633,           0.0027853,             0.89011,             0.88733,             0.92672,              0.6388,            0.024347,           0.0099878,            0.012934,           0.0092872,           0.0092872,           0.0092872
                  74,            0.021563,           0.0073942,           0.0017666,              0.8456,             0.89202,             0.90409,             0.64732,            0.022402,           0.0093036,            0.014329,           0.0092773,           0.0092773,           0.0092773
                  75,            0.021339,           0.0079368,           0.0031408,             0.85086,             0.93214,             0.92856,             0.68225,            0.021879,           0.0091101,            0.010592,           0.0092674,           0.0092674,           0.0092674
                  76,             0.02144,           0.0076909,           0.0029896,             0.80931,             0.90198,             0.93334,             0.65693,            0.023684,           0.0093915,            0.018695,           0.0092575,           0.0092575,           0.0092575
                  77,             0.02086,           0.0080053,           0.0019209,             0.85652,             0.93149,             0.93628,             0.58717,            0.028778,           0.0097534,            0.011298,           0.0092476,           0.0092476,           0.0092476
                  78,            0.019521,           0.0077874,           0.0030239,             0.86725,             0.87348,             0.92793,             0.61533,            0.026676,           0.0096429,            0.014466,           0.0092377,           0.0092377,           0.0092377
                  79,            0.020125,           0.0076301,           0.0027011,             0.93135,             0.91476,             0.93744,             0.66755,            0.024189,           0.0092371,           0.0093699,           0.0092278,           0.0092278,           0.0092278
                  80,            0.020133,           0.0068582,           0.0023604,             0.89061,             0.90785,              0.9249,             0.66127,            0.023179,           0.0089868,            0.010163,           0.0092179,           0.0092179,           0.0092179
                  81,            0.021199,           0.0078694,           0.0029902,             0.91319,              0.8782,             0.90107,             0.63452,            0.020772,           0.0092035,             0.01452,            0.009208,            0.009208,            0.009208
                  82,            0.021228,           0.0074387,           0.0027779,             0.89633,             0.89957,             0.92081,             0.64678,            0.022357,           0.0096149,            0.012737,           0.0091981,           0.0091981,           0.0091981
                  83,            0.021199,            0.008173,           0.0021516,             0.90822,             0.88394,             0.92521,             0.65447,            0.023755,            0.010309,            0.011279,           0.0091882,           0.0091882,           0.0091882
                  84,            0.019127,           0.0073544,           0.0041404,             0.93146,             0.88796,              0.9375,             0.61773,            0.026986,           0.0099084,           0.0082706,           0.0091783,           0.0091783,           0.0091783
                  85,            0.019397,           0.0078641,           0.0029507,             0.92325,             0.87484,             0.91067,             0.59057,            0.026229,            0.011094,           0.0076115,           0.0091684,           0.0091684,           0.0091684
                  86,            0.019693,            0.007953,           0.0025319,             0.85312,             0.90353,             0.91217,             0.61148,            0.025013,            0.011876,            0.010715,           0.0091585,           0.0091585,           0.0091585
                  87,            0.020595,           0.0079439,           0.0022679,             0.91457,             0.90144,             0.93405,             0.65794,            0.023129,            0.010432,           0.0090597,           0.0091486,           0.0091486,           0.0091486
