               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.044722,            0.017248,           0.0082476,             0.63774,             0.88609,              0.9675,             0.47877,            0.040255,            0.014287,           0.0028811,            0.008812,            0.008812,            0.008812
                  38,            0.045476,            0.016675,            0.008642,             0.76309,             0.80899,              0.9675,             0.67758,            0.027188,             0.01331,           0.0044117,            0.008779,            0.008779,            0.008779
                  39,            0.038945,            0.018197,           0.0074709,             0.71938,                   1,               0.995,             0.66031,            0.030146,            0.011925,           0.0027243,            0.008746,            0.008746,            0.008746
                  40,            0.047295,            0.016228,           0.0070111,             0.57598,                   1,               0.995,              0.6084,            0.035785,            0.014251,           0.0022717,            0.008713,            0.008713,            0.008713
                  41,            0.043354,            0.017498,            0.006991,             0.87584,                   1,               0.995,             0.69303,            0.025189,            0.012917,           0.0024021,             0.00868,             0.00868,             0.00868
                  42,             0.04845,            0.017008,           0.0071751,             0.53604,             0.90214,             0.77417,             0.38615,            0.035689,            0.016737,           0.0030968,            0.008647,            0.008647,            0.008647
                  43,             0.04299,            0.016741,            0.009018,             0.69855,                   1,               0.995,             0.42218,            0.029671,            0.012737,           0.0029057,            0.008614,            0.008614,            0.008614
                  44,             0.04316,            0.015663,           0.0059415,             0.63545,                   1,               0.995,             0.68037,            0.029986,             0.01256,           0.0027964,            0.008581,            0.008581,            0.008581
                  45,            0.040335,            0.017372,           0.0076964,             0.92419,             0.99821,               0.995,             0.74088,            0.019079,             0.01061,           0.0032547,            0.008548,            0.008548,            0.008548
                  46,            0.035088,            0.016933,           0.0061985,             0.76285,                   1,               0.995,             0.65112,            0.021138,            0.011959,           0.0041965,            0.008515,            0.008515,            0.008515
                  47,            0.030956,            0.016303,           0.0052974,             0.57938,             0.88889,             0.91433,             0.44393,             0.02747,            0.012484,           0.0032049,            0.008482,            0.008482,            0.008482
                  48,            0.045787,            0.015504,           0.0061458,             0.79218,             0.91653,               0.995,             0.72967,              0.0232,            0.012032,           0.0033966,            0.008449,            0.008449,            0.008449
                  49,            0.038408,            0.013734,           0.0060517,             0.69943,             0.89204,              0.9675,              0.6857,            0.025878,            0.011895,           0.0028027,            0.008416,            0.008416,            0.008416
                  50,            0.038871,            0.014978,           0.0064765,             0.74223,             0.98193,               0.995,             0.55064,            0.024842,            0.010215,           0.0031002,            0.008383,            0.008383,            0.008383
                  51,             0.03339,            0.016567,           0.0058035,              0.6996,               0.952,               0.995,             0.44841,            0.034766,            0.012148,           0.0019684,             0.00835,             0.00835,             0.00835
                  52,            0.043859,            0.015333,           0.0055468,             0.84547,             0.96644,               0.995,             0.72252,            0.019431,             0.01046,           0.0017527,            0.008317,            0.008317,            0.008317
                  53,            0.038697,            0.015429,           0.0060542,             0.90107,                   1,               0.995,               0.553,            0.025646,            0.011513,           0.0017778,            0.008284,            0.008284,            0.008284
                  54,            0.034258,            0.014528,           0.0069256,             0.96368,                   1,               0.995,             0.72967,             0.01891,            0.010579,           0.0017876,            0.008251,            0.008251,            0.008251
                  55,            0.029064,            0.015935,           0.0068663,             0.81094,                   1,               0.995,             0.47733,            0.026786,              0.0119,           0.0019758,            0.008218,            0.008218,            0.008218
                  56,            0.038053,            0.014897,           0.0064971,             0.82245,             0.97564,               0.995,             0.70822,            0.020341,             0.01083,            0.002116,            0.008185,            0.008185,            0.008185
                  57,            0.034948,            0.015779,            0.005892,             0.82179,             0.99334,               0.995,             0.52371,            0.021336,            0.011974,           0.0020479,            0.008152,            0.008152,            0.008152
                  58,            0.037649,            0.016728,            0.005181,             0.94372,                   1,               0.995,             0.67532,            0.023575,            0.011638,           0.0016863,            0.008119,            0.008119,            0.008119
                  59,             0.03116,            0.013962,           0.0054835,             0.75161,             0.88889,              0.9675,              0.5117,            0.029946,            0.013564,           0.0022545,            0.008086,            0.008086,            0.008086
                  60,            0.036836,            0.013937,           0.0043551,             0.92917,             0.93633,               0.995,             0.69185,             0.01873,            0.012766,           0.0021063,            0.008053,            0.008053,            0.008053
                  61,            0.030831,            0.014889,           0.0048873,             0.72042,             0.88889,               0.951,             0.51938,            0.021653,            0.013057,           0.0021017,             0.00802,             0.00802,             0.00802
                  62,            0.030182,            0.014233,            0.004899,             0.93066,             0.92854,               0.995,             0.73133,            0.017837,            0.013371,           0.0023621,            0.007987,            0.007987,            0.007987
                  63,            0.028084,            0.012125,           0.0053382,             0.94693,              0.9019,               0.995,             0.60952,            0.023917,            0.014645,           0.0019014,            0.007954,            0.007954,            0.007954
                  64,             0.03541,            0.013432,           0.0042014,             0.91415,             0.97085,               0.995,             0.65275,            0.021253,            0.014125,           0.0015633,            0.007921,            0.007921,            0.007921
                  65,            0.033841,            0.014228,            0.004065,             0.96876,              0.8963,               0.995,             0.64365,            0.022536,             0.01597,           0.0022568,            0.007888,            0.007888,            0.007888
                  66,            0.033105,            0.013646,           0.0046551,              0.9569,             0.88889,               0.951,             0.65199,            0.019192,            0.015736,            0.002425,            0.007855,            0.007855,            0.007855
                  67,             0.03438,            0.014671,           0.0046433,             0.94528,             0.88889,                0.94,             0.64073,            0.020381,            0.018478,           0.0041279,            0.007822,            0.007822,            0.007822
                  68,            0.032509,            0.013886,           0.0038767,             0.93713,             0.88889,             0.93214,             0.64301,            0.024029,               0.017,            0.005397,            0.007789,            0.007789,            0.007789
                  69,            0.033399,            0.013215,           0.0076378,             0.94734,             0.89702,               0.995,              0.7638,            0.018237,            0.015182,           0.0057083,            0.007756,            0.007756,            0.007756
                  70,            0.027496,            0.014435,           0.0056973,             0.91692,             0.89781,               0.995,             0.68712,            0.023788,            0.015273,           0.0042629,            0.007723,            0.007723,            0.007723
                  71,            0.027122,            0.014401,           0.0063925,             0.92529,                   1,               0.995,             0.66478,            0.021002,            0.013295,           0.0024851,             0.00769,             0.00769,             0.00769
                  72,            0.028984,            0.012282,           0.0041812,             0.92824,                   1,               0.995,             0.74837,            0.018369,            0.013772,           0.0023666,            0.007657,            0.007657,            0.007657
                  73,            0.030527,            0.013925,           0.0047115,             0.91315,                   1,               0.995,             0.60648,            0.023263,            0.013834,           0.0026339,            0.007624,            0.007624,            0.007624
                  74,            0.028015,            0.013686,           0.0056817,             0.91887,                   1,               0.995,             0.82097,            0.015952,            0.013068,           0.0025955,            0.007591,            0.007591,            0.007591
                  75,            0.025254,            0.013039,           0.0053982,             0.88546,             0.97949,               0.995,              0.5774,            0.027105,            0.015117,            0.002932,            0.007558,            0.007558,            0.007558
                  76,            0.037626,            0.014816,           0.0069916,             0.88427,             0.95121,               0.995,             0.78656,            0.018077,            0.014094,           0.0028959,            0.007525,            0.007525,            0.007525
                  77,            0.027724,            0.014056,           0.0055502,             0.75814,             0.98561,               0.995,             0.56097,             0.02152,             0.01376,           0.0029617,            0.007492,            0.007492,            0.007492
                  78,            0.028353,            0.013642,           0.0043289,              0.9199,                   1,               0.995,             0.83051,            0.016833,            0.013033,           0.0025188,            0.007459,            0.007459,            0.007459
                  79,            0.025487,            0.014006,           0.0040227,             0.95954,                   1,               0.995,             0.49198,            0.022863,            0.014549,           0.0020153,            0.007426,            0.007426,            0.007426
                  80,            0.032803,            0.013145,            0.003751,             0.93497,                   1,               0.995,             0.74934,            0.017688,            0.013406,           0.0025543,            0.007393,            0.007393,            0.007393
                  81,            0.028475,            0.013636,           0.0042005,             0.81064,                   1,               0.995,             0.58573,            0.021409,            0.014018,           0.0026962,             0.00736,             0.00736,             0.00736
                  82,            0.029003,            0.013288,           0.0038049,             0.85608,                   1,               0.995,             0.66478,            0.018442,            0.013724,           0.0046097,            0.007327,            0.007327,            0.007327
                  83,            0.026588,             0.01281,           0.0048534,             0.96264,                   1,               0.995,             0.67223,            0.019239,            0.013631,           0.0017658,            0.007294,            0.007294,            0.007294
                  84,            0.028547,            0.011669,           0.0042406,             0.95829,                   1,               0.995,             0.71427,            0.017971,            0.013353,           0.0015907,            0.007261,            0.007261,            0.007261
                  85,            0.028873,            0.013946,           0.0049245,             0.89703,                   1,               0.995,             0.61898,            0.019523,            0.014012,           0.0027718,            0.007228,            0.007228,            0.007228
                  86,             0.02688,            0.012785,           0.0045541,             0.88538,                   1,               0.995,               0.757,             0.01497,            0.013989,           0.0034035,            0.007195,            0.007195,            0.007195
                  87,            0.021808,            0.012471,           0.0040959,             0.97025,                   1,               0.995,             0.73055,            0.020926,            0.013022,           0.0014674,            0.007162,            0.007162,            0.007162
                  88,            0.031197,            0.013363,           0.0034681,             0.96962,                   1,               0.995,             0.73862,            0.018225,            0.012242,           0.0014611,            0.007129,            0.007129,            0.007129
                  89,            0.027753,            0.015083,           0.0047463,             0.96633,                   1,               0.995,             0.73066,            0.016156,             0.01226,           0.0015049,            0.007096,            0.007096,            0.007096
                  90,            0.026826,             0.01366,           0.0044609,             0.95773,                   1,               0.995,             0.73175,            0.016803,            0.012746,           0.0016788,            0.007063,            0.007063,            0.007063
                  91,            0.024093,            0.012007,           0.0047343,             0.80435,                   1,               0.995,             0.63332,            0.020455,            0.013723,           0.0018877,             0.00703,             0.00703,             0.00703
                  92,            0.032251,             0.01313,           0.0036044,             0.94589,                   1,               0.995,             0.75822,            0.017518,            0.013823,           0.0021143,            0.006997,            0.006997,            0.006997
                  93,            0.026204,            0.012695,           0.0034941,              0.9131,                   1,               0.995,             0.77544,              0.0166,            0.013623,           0.0029961,            0.006964,            0.006964,            0.006964
                  94,            0.023033,            0.012893,           0.0033391,             0.84378,                   1,               0.995,             0.73313,            0.016501,            0.014261,           0.0047928,            0.006931,            0.006931,            0.006931
                  95,            0.020173,            0.012177,           0.0033207,             0.80309,                   1,               0.995,             0.65796,            0.020257,            0.014241,           0.0023907,            0.006898,            0.006898,            0.006898
                  96,            0.032328,             0.01405,           0.0040399,             0.80226,                   1,               0.995,              0.6992,            0.017133,            0.013864,           0.0019587,            0.006865,            0.006865,            0.006865
                  97,            0.026299,            0.011314,           0.0032383,             0.95733,                   1,               0.995,             0.73155,            0.016832,            0.014053,            0.001692,            0.006832,            0.006832,            0.006832
                  98,            0.023965,            0.010929,           0.0041707,             0.95516,                   1,               0.995,             0.74356,            0.017932,            0.014054,           0.0016554,            0.006799,            0.006799,            0.006799
                  99,            0.022107,            0.012617,           0.0046155,             0.96022,                   1,               0.995,              0.7512,             0.01836,            0.014277,           0.0016863,            0.006766,            0.006766,            0.006766
                 100,            0.027934,            0.012631,           0.0030521,             0.95869,                   1,               0.995,             0.68153,             0.02087,            0.014445,           0.0018682,            0.006733,            0.006733,            0.006733
                 101,            0.026062,            0.011949,           0.0035306,              0.9585,                   1,               0.995,             0.75279,            0.017606,            0.013952,           0.0019541,              0.0067,              0.0067,              0.0067
                 102,            0.023518,            0.011885,           0.0041725,             0.90605,                   1,               0.995,             0.70859,            0.019464,            0.013732,           0.0039059,            0.006667,            0.006667,            0.006667
                 103,             0.02158,            0.011727,           0.0043636,             0.84567,             0.96961,               0.995,             0.68161,            0.019269,            0.014952,           0.0053604,            0.006634,            0.006634,            0.006634
                 104,            0.025867,            0.011273,           0.0035313,             0.89949,                   1,               0.995,             0.69103,            0.016959,            0.014749,           0.0036678,            0.006601,            0.006601,            0.006601
                 105,            0.023511,            0.011968,           0.0036116,             0.94703,                   1,               0.995,             0.63218,             0.02054,            0.016283,           0.0024347,            0.006568,            0.006568,            0.006568
                 106,            0.023824,            0.012155,           0.0035684,              0.9516,                   1,               0.995,                0.72,            0.016325,            0.015808,           0.0021166,            0.006535,            0.006535,            0.006535
                 107,            0.021388,            0.010689,           0.0042739,             0.94992,                   1,               0.995,             0.64887,            0.018842,             0.01763,            0.002136,            0.006502,            0.006502,            0.006502
                 108,             0.02771,             0.01291,           0.0042442,             0.94359,                   1,               0.995,             0.66403,            0.017931,            0.016751,           0.0022831,            0.006469,            0.006469,            0.006469
                 109,            0.024798,            0.011567,           0.0042562,             0.94676,                   1,               0.995,             0.69697,            0.023295,            0.016845,           0.0023083,            0.006436,            0.006436,            0.006436
                 110,            0.024745,             0.01324,           0.0030779,             0.93418,                   1,               0.995,             0.70618,            0.015239,            0.015663,           0.0024754,            0.006403,            0.006403,            0.006403
                 111,            0.020578,            0.011563,           0.0038739,             0.87843,                   1,               0.995,             0.61561,            0.021868,            0.016075,           0.0034321,             0.00637,             0.00637,             0.00637
                 112,            0.031525,            0.012903,           0.0027762,             0.84757,             0.98717,               0.995,               0.748,            0.016313,            0.014948,           0.0041073,            0.006337,            0.006337,            0.006337
                 113,            0.025492,            0.011642,           0.0032777,              0.8306,             0.99297,               0.995,             0.70015,            0.016349,            0.015422,           0.0046944,            0.006304,            0.006304,            0.006304
                 114,            0.022497,            0.011347,           0.0024001,              0.8108,                   1,               0.995,             0.78997,            0.013791,            0.014689,           0.0049072,            0.006271,            0.006271,            0.006271
                 115,            0.017722,            0.011115,           0.0030505,             0.77898,                   1,               0.995,             0.65171,            0.020152,            0.015492,           0.0047459,            0.006238,            0.006238,            0.006238
                 116,            0.029482,            0.011585,           0.0027983,             0.81715,                   1,               0.995,             0.66728,            0.017052,            0.014911,           0.0039516,            0.006205,            0.006205,            0.006205
                 117,            0.021637,            0.012096,           0.0031562,             0.88768,                   1,               0.995,             0.73137,            0.017208,            0.014869,           0.0027168,            0.006172,            0.006172,            0.006172
                 118,            0.022266,            0.011106,           0.0046617,             0.92949,                   1,               0.995,             0.72746,            0.016491,            0.014507,           0.0017155,            0.006139,            0.006139,            0.006139
                 119,            0.021102,            0.011837,           0.0021405,              0.9454,                   1,               0.995,              0.6163,            0.022615,            0.014949,           0.0014093,            0.006106,            0.006106,            0.006106
                 120,            0.031715,            0.012131,            0.002674,             0.95165,                   1,               0.995,             0.75205,            0.016147,            0.013986,           0.0012194,            0.006073,            0.006073,            0.006073
                 121,            0.021549,            0.012804,           0.0032294,             0.95323,                   1,               0.995,             0.75799,            0.015597,            0.012781,           0.0012254,             0.00604,             0.00604,             0.00604
                 122,            0.021415,            0.011526,           0.0032506,             0.94974,                   1,               0.995,             0.75817,            0.014545,            0.012834,             0.00124,            0.006007,            0.006007,            0.006007
                 123,            0.019075,            0.012098,           0.0039758,             0.94816,                   1,               0.995,             0.58642,            0.021767,            0.013548,           0.0014116,            0.005974,            0.005974,            0.005974
                 124,            0.026283,            0.011313,           0.0030255,             0.95643,                   1,               0.995,             0.77673,            0.017258,            0.013766,           0.0013327,            0.005941,            0.005941,            0.005941
                 125,            0.022906,             0.01243,           0.0034324,             0.95854,                   1,               0.995,             0.70583,            0.017444,            0.013525,           0.0014345,            0.005908,            0.005908,            0.005908
                 126,            0.021539,            0.012001,            0.003129,             0.96457,                   1,               0.995,             0.74653,            0.015155,            0.013383,           0.0014508,            0.005875,            0.005875,            0.005875
                 127,            0.018537,            0.011145,           0.0026777,             0.96399,                   1,               0.995,             0.67245,            0.017941,            0.013669,           0.0015444,            0.005842,            0.005842,            0.005842
                 128,            0.025099,            0.011785,           0.0031833,             0.95633,                   1,               0.995,             0.71835,            0.016912,            0.012891,           0.0016614,            0.005809,            0.005809,            0.005809
