               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030205,            0.011302,           0.0059759,             0.88577,             0.85955,             0.87984,             0.56629,            0.028126,           0.0057224,           0.0088337,           0.0096634,           0.0096634,           0.0096634
                  36,            0.028824,            0.010753,           0.0056224,             0.85492,             0.81521,             0.87166,             0.55064,            0.031009,           0.0053976,           0.0094663,           0.0096535,           0.0096535,           0.0096535
                  37,            0.029485,            0.010455,           0.0048888,             0.87741,             0.83875,             0.86447,             0.55504,            0.027959,           0.0056964,            0.010704,           0.0096436,           0.0096436,           0.0096436
                  38,             0.02981,             0.01017,           0.0041699,             0.88685,              0.7461,              0.8393,             0.59999,            0.026176,           0.0062109,             0.01292,           0.0096337,           0.0096337,           0.0096337
                  39,            0.027672,            0.010145,           0.0044162,             0.89739,             0.87913,             0.89565,             0.62191,            0.022726,           0.0056366,           0.0092319,           0.0096238,           0.0096238,           0.0096238
                  40,            0.027409,            0.010182,           0.0042195,              0.8882,             0.80231,             0.85668,             0.57922,            0.025005,           0.0057391,            0.013676,           0.0096139,           0.0096139,           0.0096139
                  41,            0.026248,             0.00991,           0.0050469,             0.92266,             0.85016,             0.88788,              0.5781,            0.028778,           0.0059018,           0.0091209,            0.009604,            0.009604,            0.009604
                  42,            0.027464,            0.010422,            0.004437,             0.85135,             0.86372,             0.87543,             0.54459,            0.027826,           0.0054153,            0.012829,           0.0095941,           0.0095941,           0.0095941
                  43,            0.027837,            0.010086,           0.0044209,             0.87718,             0.81558,              0.8819,             0.60126,            0.023846,           0.0054059,            0.016404,           0.0095842,           0.0095842,           0.0095842
                  44,               0.026,            0.009916,            0.004281,             0.89027,             0.83307,             0.87398,             0.56433,             0.02814,           0.0053339,            0.011389,           0.0095743,           0.0095743,           0.0095743
                  45,            0.027216,            0.010321,           0.0045787,             0.86681,             0.83655,             0.86945,             0.54355,             0.03004,           0.0054944,            0.015948,           0.0095644,           0.0095644,           0.0095644
                  46,            0.026925,           0.0096921,           0.0043593,             0.89798,             0.78637,             0.87722,             0.57246,            0.027095,           0.0054575,            0.015829,           0.0095545,           0.0095545,           0.0095545
                  47,             0.02629,           0.0096355,           0.0042007,             0.88187,             0.86806,             0.88706,             0.55766,            0.029342,           0.0054419,            0.012488,           0.0095446,           0.0095446,           0.0095446
                  48,            0.025921,           0.0097036,           0.0038895,             0.88517,             0.88566,             0.86773,             0.53557,              0.0298,           0.0056561,            0.011478,           0.0095347,           0.0095347,           0.0095347
                  49,            0.026036,           0.0095783,           0.0037819,             0.86717,             0.82084,              0.8768,             0.58942,            0.023572,           0.0055582,            0.013087,           0.0095248,           0.0095248,           0.0095248
                  50,            0.025632,           0.0096838,            0.003696,             0.87317,             0.88889,             0.88056,             0.59376,             0.02456,           0.0050629,            0.012793,           0.0095149,           0.0095149,           0.0095149
                  51,            0.026847,           0.0097841,           0.0037747,             0.91399,                0.88,             0.89744,             0.60227,            0.027084,           0.0053888,            0.011106,            0.009505,            0.009505,            0.009505
                  52,            0.025221,            0.009784,           0.0039643,             0.85147,             0.87721,             0.91484,             0.60354,            0.025809,           0.0054175,            0.011327,           0.0094951,           0.0094951,           0.0094951
                  53,            0.026073,           0.0093568,           0.0030199,             0.76365,             0.87062,             0.86838,             0.53666,            0.030047,           0.0053302,            0.013523,           0.0094852,           0.0094852,           0.0094852
                  54,            0.025353,           0.0096788,           0.0032476,             0.84717,             0.87853,             0.88496,             0.55428,            0.028591,           0.0053464,            0.010743,           0.0094753,           0.0094753,           0.0094753
                  55,            0.024593,            0.009204,           0.0040562,             0.84958,             0.83647,             0.85897,              0.5812,            0.025739,           0.0056143,            0.013233,           0.0094654,           0.0094654,           0.0094654
                  56,            0.024179,           0.0093283,           0.0041904,             0.88908,             0.86675,             0.87527,             0.55779,            0.030555,           0.0058517,            0.012678,           0.0094555,           0.0094555,           0.0094555
                  57,            0.024391,            0.009318,           0.0036757,             0.88519,             0.90424,             0.90782,             0.60146,            0.029419,              0.0056,            0.010865,           0.0094456,           0.0094456,           0.0094456
                  58,            0.024012,           0.0089327,           0.0037786,             0.89202,              0.8406,             0.89692,             0.59792,            0.025089,           0.0054721,            0.010737,           0.0094357,           0.0094357,           0.0094357
