               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11766,            0.029582,            0.039843,          0.00092593,             0.33333,           0.0029094,           0.0014547,            0.073841,             0.02286,            0.028409,              0.0964,              0.0004,              0.0004
                   1,             0.10847,            0.031141,            0.038582,           0.0048288,             0.88889,            0.010587,            0.003062,            0.066201,            0.024947,            0.028308,            0.091898,          0.00089777,          0.00089777
                   2,            0.093304,            0.035276,            0.037896,          0.00096061,             0.33333,           0.0021398,          0.00042796,            0.059284,            0.026191,            0.028143,            0.087393,           0.0013931,           0.0013931
                   3,            0.081983,            0.035766,            0.035868,           0.0046271,             0.88889,            0.029052,           0.0049324,             0.05302,            0.028301,            0.026843,            0.082886,           0.0018859,           0.0018859
                   4,            0.079501,            0.039392,            0.034728,           0.0056776,                   1,             0.25429,            0.043536,            0.046468,            0.030524,            0.024609,            0.078376,           0.0023762,           0.0023762
                   5,            0.072665,            0.040349,            0.033297,           0.0056781,                   1,             0.14168,            0.049675,            0.041913,            0.031498,            0.023236,            0.073864,           0.0028641,           0.0028641
                   6,            0.067884,            0.044597,            0.032878,             0.51492,             0.55556,              0.3774,              0.1301,            0.036397,             0.03174,            0.022046,             0.06935,           0.0033495,           0.0033495
                   7,            0.062272,            0.038037,            0.030152,              0.7996,             0.33333,             0.46003,             0.22689,            0.036934,            0.031076,            0.020764,            0.064832,           0.0038324,           0.0038324
                   8,            0.062397,            0.035753,            0.028958,             0.39888,              0.4448,             0.17074,            0.040618,            0.046735,            0.032465,             0.01946,            0.060313,           0.0043129,           0.0043129
                   9,            0.065249,            0.031606,             0.02774,             0.74662,             0.55556,             0.64342,             0.18099,            0.039964,             0.03524,            0.018677,            0.055791,           0.0047909,           0.0047909
                  10,            0.062236,            0.032111,            0.027168,             0.74094,             0.55556,             0.42692,             0.10949,            0.050318,            0.030797,            0.017184,            0.051266,           0.0052663,           0.0052663
                  11,            0.065326,            0.030371,            0.024236,             0.55112,             0.55556,             0.32925,             0.13641,            0.048153,            0.026426,            0.015179,            0.046739,           0.0057394,           0.0057394
                  12,            0.065749,            0.029263,            0.024165,             0.52955,             0.22222,             0.37628,             0.13547,            0.050308,            0.022118,            0.014708,             0.04221,           0.0062099,           0.0062099
                  13,            0.065895,              0.0304,            0.022772,             0.49645,             0.66667,             0.46802,             0.23937,              0.0459,            0.019924,            0.013211,            0.037678,            0.006678,            0.006678
                  14,            0.065301,            0.027795,            0.021181,             0.66752,             0.55556,             0.55306,             0.18319,            0.044138,            0.016771,            0.011865,            0.033144,           0.0071436,           0.0071436
